id,name,ORCID,org,IDAF,Publisher,IDPS
AUTH_AABUFE,Aaron Bufe,http://orcid.org/0000-0002-8551-7265,APSARA National Authority,ORG_00001,Academie des inscriptions et belles-lettres,PBSH_00001
AUTH_AAGLAS,Aarie Glas,http://orcid.org/0000-0002-7729-9755,Aalto University,ORG_00002,American Association for the Advancement of Science,PBSH_00002
AUTH_AKMIZO,Akinori Mizoguchi,http://orcid.org/0000-0001-7049-2280,Academie des Inscriptions et Belles-Lettres,ORG_00003,ANNUAL REVIEWS,PBSH_00003
AUTH_ALCART,Alison Kyra Carter,http://orcid.org/0000-0001-6331-2149,Adam Mickiewicz University,ORG_00004,APSARA National Authority,PBSH_00004
AUTH_ALCHEC,Alessandro Chechi,http://orcid.org/0000-0003-4007-0209,Akita University,ORG_00005,Association des professeurs d'arch�ologie et d'histoire de l'art des universit�s,PBSH_00005
AUTH_ALDISS,Alexandre Disser,http://orcid.org/0000-0003-0914-2606,Archaeology and Development Foundation,ORG_00006,Association for Computing Machinery,PBSH_00006
AUTH_ANBUSS,Andreas Buss,http://orcid.org/0000-0003-1277-0945,Arizona State University,ORG_00007,Australian Society of Exploration Geophysicists,PBSH_00007
AUTH_ANGAUG,Andrea E. Gaughan,http://orcid.org/0000-0002-4898-1587,Asian Disaster Preparedness Center,ORG_00008,BAR Publishing,PBSH_00008
AUTH_ANGUIL,Anne Yvonne Guillou,http://orcid.org/0009-0006-4670-8399,Asian Institute of Technology,ORG_00009,Brill,PBSH_00009
AUTH_ANHOFF,Andreas Hoffmann,,Australian Catholic University,ORG_00010,Cambridge University Press,PBSH_00010
AUTH_ANKULI,Andreas Kulick,http://orcid.org/0000-0002-4524-0150,Australian Defense Force Academy,ORG_00011,Cell Press,PBSH_00011
AUTH_ANLEAS,Anna Leask,http://orcid.org/0000-0003-3543-8064,Australian National University,ORG_00012,Ecole Francaise d'Extreme-Orient,PBSH_00012
AUTH_ANMILN,Anthony Milne,,Australian Nuclear Science and Technology Organisation,ORG_00013,Elsevier,PBSH_00013
AUTH_ANMUNI,Annalaura Casanova Municchia,http://orcid.org/0000-0002-3459-8763,Benaras Hindu University,ORG_00014,German Geological Society Geological Association,PBSH_00014
AUTH_AOMIZU,Aoi Mizumori,,Bidoup Nui Ba National Park,ORG_00015,GIGA Institut f�r Asien-Studien,PBSH_00015
AUTH_APAPSA,APSARA,,Blaise Pascal University,ORG_00016,Indo-Pacific Prehistory Association,PBSH_00016
AUTH_ARBABU,Arun Babu,http://orcid.org/0000-0002-1398-928X,Cambodian National Commission for UNESCO,ORG_00017,J-STAGE,PBSH_00017
AUTH_ARSODO,Armida Sodo,http://orcid.org/0000-0001-7005-1610,Centre National de la Recherche Scientifique,ORG_00018,Maney Publishing,PBSH_00018
AUTH_ARWICH,Aroonrut Wichienkeeo,,Chiang Mai University,ORG_00019,MDPI,PBSH_00019
AUTH_ARZELL,Ariel Zellman,http://orcid.org/0000-0003-1106-1282,Chiba Institute of Technology,ORG_00020,Michigan Publishing,PBSH_00020
AUTH_ASHADA,Asami Hada,,Chinese Academy of Sciences,ORG_00021,Nature,PBSH_00021
AUTH_ASROGE,Ashleigh J. Rogers,http://orcid.org/0000-0003-0455-9381,Chulalongkorn University,ORG_00022,NUS Press,PBSH_00022
AUTH_ASSHAM,Asaad Y. Shamseldin,http://orcid.org/0000-0002-1701-7218,City University of Macau,ORG_00023,Oxford Academic,PBSH_00023
AUTH_ATBANN,Atsuhiko Banno,http://orcid.org/0000-0002-6394-5947,Cleveland State University,ORG_00024,Oxford University Press,PBSH_00024
AUTH_BEPORT,Bertrand Porte,,Columbia University,ORG_00025,Palgrave Macmillan,PBSH_00025
AUTH_BOTOUC,Bora Touch,,Consiglio Nazionale delle Ricerche,ORG_00026,Presses Universitaires de Provence,PBSH_00026
AUTH_BOZHEN,Bo Zheng,,Consiglio per la Ricerca e la Sperimentazione in Agricoltura,ORG_00027,Public Library of Science,PBSH_00027
AUTH_BRBUCK,Brendan M. Buckley,http://orcid.org/0000-0003-1544-8003,Cornell University,ORG_00028,Radiocarbon,PBSH_00028
AUTH_BRPHAL,Bruno Phalip,,Cyber University,ORG_00029,Routledge,PBSH_00029
AUTH_BRSCHA,Brigitta Hauser-Schäublin,,Eberhard Karls University of Tubingen,ORG_00030,Sage Publications,PBSH_00030
AUTH_BRZOTT,Brian Zottoli,,Ecole Francaise d'Extreme-Orient,ORG_00031,Saint Petersburg State University of Architecture and Civil Engineering,PBSH_00031
AUTH_CHCHEN,Ching-Fu Chen,,Ecole des Hautes Etudes en Sciences Sociales,ORG_00032,Science Council of Asia,PBSH_00032
AUTH_CHCROM,Christopher Cromarty,,Edinburgh Napier University,ORG_00033,Scientific Research Publishing,PBSH_00033
AUTH_CHDENG,Chaoqun Deng,,Ehime University,ORG_00034,Springer,PBSH_00034
AUTH_CHFISC,Christian Fischer,,European Commission Joint Research Centre,ORG_00035,Taylor and Francis,PBSH_00035
AUTH_CHGOLD,Charles Goldblum,,Field Museum of Natural History,ORG_00036,The Association of Japanese Geographers,PBSH_00036
AUTH_CHGROS,Christian J. Gross,,Flinders University,ORG_00037,The Metropolitan Museum of Art,PBSH_00037
AUTH_CHHIGH,Charles. F. W. Higham,http://orcid.org/0000-0002-1082-6215,Guangdong Industry Polytechnic University,ORG_00038,Trans Tech Publications,PBSH_00038
AUTH_CHMENG,Chhum Menghong,,Guangdong Technion Israel Institute of Technology,ORG_00039,UNESCO,PBSH_00039
AUTH_CHPHOE,Chuch Phoeurn,,Guangdong University of Petrochemical Technology,ORG_00040,United States National Academy of Sciences,PBSH_00040
AUTH_CHPOTT,Christophe Pottier,http://orcid.org/0000-0001-8699-6280,Guangzhou University,ORG_00041,University of Chicago Press,PBSH_00041
AUTH_CHVITH,Chan Vitharong,,Harokopio University Athens,ORG_00042,University of Pennsylvania Law School,PBSH_00042
AUTH_CLURZI,Clara Urzì,http://orcid.org/0000-0001-7952-9422,Heilongjiang Bayi Agricultural University,ORG_00043,Wiley,PBSH_00043
AUTH_COSTER,Colin Sterling,http://orcid.org/0000-0002-0423-6796,Hengyang Normal University,ORG_00044,Japan International Cooperation Center (JICE),PBSH_00044
AUTH_CRCAST,Cristina Cobo Castillo,http://orcid.org/0000-0001-6557-1881,Hubei Minzu University,ORG_00045,Kyoto University,PBSH_00045
AUTH_DABROW,Davis Brown,http://orcid.org/0000-0002-6391-4833,Hungarian Indochina Company,ORG_00046,Waseda University Repository,PBSH_00046
AUTH_DACHAN,David Chandler,,Independent Researcher,ORG_00047,National Authority for Preah Vihear,PBSH_00047
AUTH_DAEA,Darith Ea,,Indian Space Research Organisation (ISRO),ORG_00048,,
AUTH_DAEVAN,Damian Evans,http://orcid.org/0000-0003-0320-4319,Institut National de Recherches Archeologiques Preventives,ORG_00049,,
AUTH_DAFINK,David Fink,http://orcid.org/0000-0001-7156-4602,Institute of Environmental Science & Research,ORG_00050,,
AUTH_DAKRAU,Dana Krause,,Jagiellonian University,ORG_00051,,
AUTH_DAPENN,Dan Penny,http://orcid.org/0000-0002-7905-0339,James Cook University,ORG_00052,,
AUTH_DASAND,David Sanderson,http://orcid.org/0000-0002-9615-4412,Japan-APSARA Safeguarding Angkor,ORG_00053,,
AUTH_DATANG,David Tang,,Karlstad University,ORG_00054,,
AUTH_DAWYAT,David K. Wyatt,,King Saud University,ORG_00055,,
AUTH_DEMERC,Denis Mercier,http://orcid.org/0000-0003-2325-1390,Leiden University,ORG_00056,,
AUTH_DIBURA,Dipamjyoti Buragohain,http://orcid.org/0000-0001-8432-8780,Mahidol University,ORG_00057,,
AUTH_DIBURA2,Dipima Buragohain,,Max Planck Society,ORG_00058,,
AUTH_DICHEN,Di Chen,http://orcid.org/0009-0007-1948-3865,McElhanney Indonesia,ORG_00059,,
AUTH_DOOREI,Dougald J.W. O’Reilly,http://orcid.org/0000-0001-9830-6945,Meijo University,ORG_00060,,
AUTH_DOSOUT,Dominique Soutif,http://orcid.org/0000-0002-7422-1434,Metropolitan Museum of Art,ORG_00061,,
AUTH_DUCOOK,Duncan Cook,http://orcid.org/0000-0001-5270-4569,Ministry of Culture and Fine Arts of Cambodia,ORG_00062,,
AUTH_EDCOOK,Edward R. Cook,http://orcid.org/0000-0001-7478-4176,Ministry of Water Resources and Meteorology,ORG_00063,,
AUTH_EDSWEN,Edward Swenson,http://orcid.org/0000-0001-5108-4417,Monash University,ORG_00064,,
AUTH_EILUST,Eileen Lustig,http://orcid.org/0000-0003-3107-4347,Museum National d'Histoire Naturelle,ORG_00065,,
AUTH_ELBRUC,Eleanor Bruce,http://orcid.org/0000-0002-7640-2335,Nantes University,ORG_00066,,
AUTH_EMKOLI,Emmanuelle Delque Kolic,http://orcid.org/0000-0001-9758-2964,National Aeronautics & Space Administration (NASA),ORG_00067,,
AUTH_ENVEGA,Enrique Vega,http://orcid.org/0000-0002-6647-5258,National Authority for Sambor Prei Kuk,ORG_00068,,
AUTH_ERBOUR,Eric Bourdonneau,,National Cheng Kung University,ORG_00069,,
