ID,Name,Native name,Alternative names,Typology,Condition,Religion,Contextual Place,Geometry,Comune,District,Province,Country,TemporalRange,Start,End,Builder,Latitude,Longitude,Material,IDStat,IDTimeSpan
SITE_00001,Toe Toek Thnal Baray,ថ្នល់បារាយ៍ទទឹក,"East Baray West outlet, East Baray Exetoire, Yasodharatataka",Water canal,Ruin,Hinduism,Angkor,,Nokor Thom,Krong Siem Reap,Siem Reap,Cambodia,Late 9th century to 10th century,889,910,Yasovarman I,13.44188,103.88728,"Laterite, Sandstone",STATUS_00001,TSSI_00001
SITE_00002,Prasat Banteay Srei,ប្រាសាទបន្ទាយស្រី,ត្រីភួនមហេស្វរ,Temple,Good,Hinduism,Angkor,,Khnar Sanday,Banteay Srei,Siem Reap,Cambodia,10th century,944,1050,"Rajendravarman II, Jayavarman V, Suryavarman I",13.59893,103.96304,Sandstone,STATUS_00002,TSSI_00002
SITE_00003,Prasat Banteay Kdei,ប្រាសាទបន្ទាយក្តី,,Temple,Good,Buddhism,Angkor,,Nokor Thom,Krong Siem Reap,Siem Reap,Cambodia,"10th century, retored late 12th century",944,1218,"Rajendravarman II, Jayavarman VII",13.43,103.8987,"Laterite, Sandstone",STATUS_00003,TSSI_00003
SITE_00004,Prasat Phimeanakas,ប្រាសាទភិមានអាកាស,Prasat Himasangkakiri,Temple,Fair,Hinduism,Angkor,,Kok Chak,Krong Siem Reap,Siem Reap,Cambodia,10th to 11th century,941,1050,"Harshavarman II, Jayavarman V, Suryavarman I",13.44562,103.85616,"Laterite, Sandstone",STATUS_00004,TSSI_00004
SITE_00005,Prasat Mebon Khang Lech,ប្រាសាទមេបុណ្យខាងលិច,"Prasat West Mebon, Prasat Mebon, Prasat Baray, Kuk Mebon",Temple,Poor,Hinduism,Angkor,,Toek Vil,Krong Siem Reap,Siem Reap,Cambodia,11th century ,1002,1066,"Suryavarman I, Udayadityavarman II",13.4342,103.80015,"Sandstone, Laterite",STATUS_00005,TSSI_00005
SITE_00006,Prasat Suor Prat,ប្រាសាទសួព្រ័ត,"Prasat Suor Proat, Prasat Neang Dop Pi, Prasat Neang 12, Prasat Suor Prot",Temple,Good,Hinduism,Angkor,,Nokor Thom,Krong Siem Reap,Siem Reap,Cambodia,"11th century, restored 13th century",1002,1243,"Suryavarman I , Jayavarman VII , Indravarman II ",13.44591,103.86072,"Laterite, Sandstone",STATUS_00006,TSSI_00006
SITE_00007,Preah Lien Chol Damrei,ព្រះលានជល់ដំរី,"Elephant Terrace, Terrace of the Elephants, Terrace of Honor",Terrace,Good,Buddhism,Angkor,,Kok Chak,Krong Siem Reap,Siem Reap,Cambodia,Late 12th century to 13th century,1181,1218,Jayavarman VII,13.44592,103.85887,Sandstone,STATUS_00007,TSSI_00007
SITE_00008,Prasat Kraol Ko,ប្រាសាទក្រោលគោ,Prasat Krol Ko,Temple,Fair,Buddhism,Angkor,,Nokor Thom,Krong Siem Reap,Siem Reap,Cambodia,Late 12th century to 13th century,1181,1218,Jayavarman VII,13.46829,103.89548,"Laterite, Sandstone",STATUS_00008,TSSI_00008
SITE_00009,Prasat Kor Sok,ប្រាសាទកោរសក់,"Prasat Preah Pithu T, Temple T",Temple,Fair,Hinduism,Angkor,,Nokor Thom,Krong Siem Reap,Siem Reap,Cambodia,First half of 12th century,1113,1150,Suryavarman II ,13.44834,103.86064,Sandstone,STATUS_00009,TSSI_00009
SITE_00010,Preah Pithu Group,ក្រុមព្រះពិធូរ,,Temple Complex,Good,"Hinduism, Buddhism",Angkor,,Nokor Thom,Krong Siem Reap,Siem Reap,Cambodia,"First half of 12th century, restored 14 century",1113,1150,"Suryavarman II, Jayavarman IX ",13.44874,103.86057,Sandstone,STATUS_00010,TSSI_00010
