ID,Publication Title,Document Type,Object Identifier,OpenAcess,Affiliation,Provenance,Year,Authors,Language,Publisher,Keywords,Journal,Volume,Book,Abstract,Coverage,SpecificSiteID,Area,IDpub,IDJ,IDV,IDB
PUB_00001,"La fondation du culte du Devaraja. Danse, sacrifice et royaute au Prasat Thom de Koh Ker",Article,https://doi.org/10.3406/crai.2011.93294,Y,Academie des Inscriptions et Belles-Lettres,France,2011,Eric Bourdonneau,French,Academie des inscriptions et belles-lettres,,Comptes rendus des seances de l'Academie des Inscriptions et Belles-Lettres,"Volume 155,  Issue 3",,,UNESCO_04,SITE_00081,"Religion History, History",PUB_00001,JNL_00024,J24_VOL155_I3,
PUB_00002,"Preah Vihear, une valeur universelle et exceptionnelle",Article,https://doi.org/10.3406/crai.2011.93293,Y,Ministry of Culture and Fine Arts of Cambodia,Cambodia,2011,Chuch Phoeurn,French,Academie des inscriptions et belles-lettres,,Comptes rendus des seances de l'Academie des Inscriptions et Belles-Lettres,"Volume 155,  Issue 3",,,UNESCO_02,SITE_00113,"History, Geography",PUB_00002,JNL_00024,J24_VOL155_I3,
PUB_00003,"Compte rendu des travaux archéologiques réalisés au Cambodge, fouilles de Sambor Prei Kuk et le dégagement du Prah Khan",Article,https://doi.org/10.3406/crai.1930.75899,Y,Ecole Francaise d'Extreme-Orient,France,1930,Victor Gouloubew,French,Academie des inscriptions et belles-lettres,,Comptes rendus des seances de l'Academie des Inscriptions et Belles-Lettres,"Volume 74,  Issue 2",,,UNESCO_03,,Archaeology,PUB_00003,JNL_00024,J24_VOL74_I2,
PUB_00004,Early mainland Southeast Asian landscapes in the first millennium AD,Review Article,https://doi.org/10.1146/annurev.anthro.35.081705.123157,N,University of Hawaii,United States of America,2006,Miriam T Stark,English,ANNUAL REVIEWS,"Southeast Asia, early states, archaeology, complexity",Annual Review of Anthropology,Volume 35,,"Southeast Asia's earliest states emerged during the first millennium from the Irawaddy River of Myanmar to the Red River delta of northern Vietnam. Developments during this time laid the ground-work for the florescence of the region's later and better-knowii civilizations such as Angkor and Pagan. Yet disciplinary and language barriers have thus far precluded an anthropological synthesis of cultural developments during this time. This review uses a landscape focus to synthesize current knowledge of mainland Southeast Asia's earliest states, which emerged in the first millennium A.D. Research from archaeology and history illuminates articulations between physical and social factors in several kinds of Early Southeast Asian landscapes: economic, urban, and political. Social and ideological forces that shaped these first-millennium-A.D. landscapes are discussed as integral aspects of early state formation.",UNESCO_01,,Anthropology,PUB_00004,JNL_00093,J93_VOL35,
PUB_00005,Artists and Ateliers: Khmer Decorative Lintels of the Ninth and Tenth Centuries,Article,,Y,University of Sydney,Australia,2007,Martin Polkinghorne,English,APSARA National Authority,,Udaya Journal of Khmer Studies,Number 8,,,"UNESCO_04, UNESCO_01","SITE_00002, SITE_00022, SITE_00023, SITE_00019, SITE_00081, SITE_00081, SITE_00101, SITE_00107","Art, Architecture",PUB_00005,JNL_00089,J89_NUMB8,
PUB_00006,Evidence of Sandstone Usage for Sculpture During the Khmer Empire in Cambodia Through Petrographic Analysis,Article,,Y,"Smithsonian Institution1, Metropolitan Museum of Art2, University of California3",United States of America,2010,"Janet G Douglas1, Federico Caro2, Christian Fischer3",English,APSARA National Authority,,Udaya Journal of Khmer Studies,Number 9,,,UNESCO_04,"OBJ_00094, OBJ_00183, ","Art, Archaeometry, Geology, Conservation Science",PUB_00006,JNL_00089,J89_NUMB9,
PUB_00007,Images de l’idéologie royale khmère aux frontons du temple d’Īśvarapura (967 ap. J.-C.). Nouvelles hypothèses,Article,https://doi.org/10.3406/hista.1998.2794,N,Ecole Francaise d'Extreme-Orient,France,1998,Sharon Alvares,French,Association des professeurs d'archéologie et d'histoire de l'art des universités,"Cambodia, Isanapura temple (Banteay Srei), iconographie program, kingship, Durgā Mahisasuramardani, Devi-Mahatmya, Indra’s rain, the Khandhava’s fire, Mahâbharata",Histoire de l'art,Number 40-41,,"Built ca. 969, the well-known temple of Īśvarapura, dedicated to Śiva, is a masterpiece in its iconographie program devoted to kingship. The first part of this study discusses the identification of two pediments, placing them within the general sculptural program. The first, Durgā Mahisāspuramardani, unlike the Indian tradition, shows the devil buffalo, Mahisa, as he transforms into a man. The second, identified in 1929 as Indra’s rain, depicts, in fact, the fire of the Khândava forest as related in the Indian Adiparvan of the Mahâhhàrata, although it also refers to the Indonesian version of the Mahâhhàrata, composed in 10th century Java. Thus, while Durgā, placed in front of Śiva Tribhuvanarnesvara’s sanctuary, protects him, the significance of the Khandava’s fire appears to be the conquest of the world.",UNESCO_01,SITE_00002,"Archaeology, History, Religion History",PUB_00007,JNL_00040,J40_NUMB40_41,
PUB_00008,Preah Vihear Project: Obtaining 3D point-cloud data and its application to spatial distribution analysis of Khmer temples,Proceeding,https://doi.org/10.1145/3356991.3365473,N,"University of Tokyo1, Waseda University2",Japan,2019,"Mawo Kamakura1, Hikaru Ikuta1, Bo Zheng1, Yoshihiro Sato1, Masataka Kagesawa1, Takeshi Oishi1, Kaoru Sezaki1, Takeshi Nakagawa2, Katsushi Ikeuchi1",English,Association for Computing Machinery,"e-heritage, point clouds, plane model segmentation",,,GeoHumanities '19: Proceedings of the 3rd ACM SIGSPATIAL International Workshop on Geospatial Humanities,"Preah Vihear Temple, a Hindu temple located on the border between Cambodia and Thailand, is under the need of digitization mainly because of two reasons: possible destruction of the temple, and its unique characteristics. While most of the archaeological sites from the Angkor Dynasty, such as Angkor Wat Temple and Bayon Temple, are oriented in the east-west direction, Preah Vihear Temple is one of the few archaeological sites to be oriented in the north-south direction. The first half of this paper reports the digitization project of Preah Vihear Temple. While it is possible to acquire 3D digital data of tangible cultural heritage by using existing methods, the size and location of the temple, which resides near a cliff, inhibits us from directly applying existing methods. This causes the need to design methods that are applicable for these environments. For the first time in the world, we have succeeded in acquiring 3D digital data of the entire Preah Vihear Temple, by specially designing both hardware and software that is suitable for our task. We report details of our method and present visualizations of the obtained 3D point-cloud data. The second half of this paper provides an example of an application of this 3D point-cloud data. As an example, we determine the direction of the central axis of Preah Vihear Temple using the obtained 3D point-cloud data. We also provide a hypothesis for an interpretation of the direction of the central axis by examining a Khmer legend, using the results obtained from the 3D point-cloud data.",UNESCO_02,SITE_00113,"Digital Humanities, Computer Science, Geography",PUB_00008,,,
PUB_00009,Identifying damaged areas inside a masonry monument using a combined interpretation of resistivity and ground-penetrating radar data,Article,https://doi.org/10.1071/EG14011,N,"Akita University1, University of Tokyo2, King Saud University3, Waseda University4","Japan124, Saudi Arabia3",2014,"Kyosuke Onishi1, Tomochika Tokunaga2, Yoshihiro Sugimoto2, Naoyuki Yamada2, Mohamed Metwaly3, Katsuro Mogib2, Ichita Shimoda4,Yoshinori Iwasaki4",English,Australian Society of Exploration Geophysicists,"archaeological survey, Bayon Complex, electrical exploration, ground-penetrating radar, groundwater channel",Exploration Geophysics,"Volume 45, Issue 3",,"The Bayon Complex in the Angkor heritage site, Cambodia, has been damaged by weathering. To plan its long-term preservation, it is essential to investigate its internal structure and the degree of damage within the masonry monument. This study shows results of ground-penetrating radar (GPR) and electrical exploration surveys, and an interpreted section of the internal structure and moisture distribution in the masonry monument. The GPR can detect boundaries between stone blocks and between stone blocks and compacted soil. Electrical resistivity can indicate moisture distribution with high reliability in combination with GPR sections. The top surface zone of the terrace structure of this monument is composed of three layers of stone blocks, and the zone below a depth of 55-60 cm is composed of compacted soil. Rainwater penetrates into the terrace through gaps between the stone blocks and drains from vertical walls through cavities in the top part of the compacted soil. Damaged areas are limited to a part of the terrace, and a large area has remained in good condition. This study shows that a combination of electrical resistivity and GPR data is useful for investigating the internal structures and classifying the degree of damage to old stone structures.",UNESCO_01,SITE_00014,"Geochemistry, Geophysics",PUB_00009,JNL_00032,J32_VOL45_I3,
PUB_00010,Applications of archaeological remote sensing in Cambodia: an overview of Angkor and beyond,Proceeding,ISBN 978 1 4073 0659 9,N,University of Sydney,Australia,2010,Damian Evans,English,BAR Publishing,"Angkor, Cambodia, landscape archaeology, hydraulic systems, urbanism, remote sensing",,,"Space, Time, Place: Third International Conference on Remote Sensing in Archaeology","Early Cambodian settlement sites provide excellent opportunities for aerial archaeology. Settlements were highly and consistently structured and can be identified from the air from their spatial patterning. Furthermore, remains of occupation and infrastructure can generally be found on the surface of the landscape, or are near enough to the surface to be identified by surface characteristics. After two decades of intensive and systematic remote sensing research at Cambodian archaeological sites, the contribution of aerial archaeology has been substantial. Not only has an enormous amount of new information been generated, but applications of remote sensing have provided the foundation for major multidisciplinary projects and have addressed important historical issues and debates. This paper summarises applications of remote sensing in archaeology at the site of Angkor undertaken by members of the Greater Angkor Project, and provides preliminary results for a range of ongoing studies at other early settlement sites in Cambodia including Banteay Chmar, Koh Ker, Preah Khan of Kompong Svay, Beng Melea and Sambor Prei Kuk.  ",UNESCO_04,"SITE_00082, SITE_00081, ","Archaeology, Remote Sensing",PUB_00010,,,
