authors,ORCID
Atsuhiko Banno,0000-0002-6394-5947
Annalaura Casanova Municchia,0000-0002-3459-8763
Alexandre Disser,0000-0003-0914-2606
Armida Sodo,0000-0001-7005-1610
APSARA,
Aarie Glas,0000-0002-7729-9755
Aaron Bufe,0000-0002-8551-7265
Akinori Mizoguchi,0000-0001-7049-2280
Alessandro Chechi,0000-0003-4007-0209
Alison Kyra Carter,0000-0001-6331-2149
Andrea E. Gaughan,0000-0002-4898-1587
Andreas Buss,0000-0003-1277-0945
Andreas Hoffmann,
Andreas Kulick,0000-0002-4524-0150
Anna Leask,0000-0003-3543-8064
Anne Yvonne Guillou,0009-0006-4670-8399
Anthony Milne,
Aoi Mizumori,
Ariel Zellman,0000-0003-1106-1282
Aroonrut Wichienkeeo,
Arun Babu,0000-0002-1398-928X
Asaad Y. Shamseldin,0000-0002-1701-7218
Asami Hada,
Ashleigh J. Rogers,0000-0003-0455-9381
Bertrand Porte,
Bo Zheng,
Bora Touch,
Brendan M. Buckley,0000-0003-1544-8003
Brian Zottoli,
Brigitta Hauser-Schäublin,
Bruno Phalip,
Chan Vitharong,
Chaoqun Deng,
Charles Goldblum,
Charles. F. W. Higham,0000-0002-1082-6215
Chhum Menghong,
Ching-Fu Chen,
Christian Fischer,
Christian J. Gross,
Christophe Pottier,0000-0001-8699-6280
Christopher Cromarty,
Chuch Phoeurn,
Clara Urzì,0000-0001-7952-9422
Colin Sterling,0000-0002-0423-6796
Cristina Cobo Castillo,0000-0001-6557-1881
Damian Evans,0000-0003-0320-4319
Dan Penny,0000-0002-7905-0339
Darith Ea,
David Chandler,
David Fink,0000-0001-7156-4602
David K. Wyatt,
David Sanderson,0000-0002-9615-4412
David Tang,
Davis Brown,0000-0002-6391-4833
Denis Mercier,0000-0003-2325-1390
Di Chen,0009-0007-1948-3865
Dipamjyoti Buragohain,0000-0001-8432-8780
Dipima Buragohain,0000-0001-8432-8780
Dominique Soutif,0000-0002-7422-1434
Dougald J.W. O’Reilly,0000-0001-9830-6945
Duncan Cook,0000-0001-5270-4569
Emmanuelle Delque-Kolic,0000-0001-9758-2964
Edward R. Cook,0000-0001-7478-4176
Edward Swenson,0000-0001-5108-4417
Eileen Lustig,0000-0003-3107-4347
Eleanor Bruce,0000-0002-7640-2335
Enrique Vega,0000-0002-6647-5258
Eric Bourdonneau,
Erwan Roussel,0000-0002-8735-5597
Esperanza Muñoz-Salinas,0000-0002-6214-5032
Esther Von Plehwe-Leisen,0000-0002-2096-0012
Etsuo Uchida,0000-0003-1104-6576
Fabian Dellefant,0000-0002-2612-6635
Fasi Wu,0000-0002-1175-8285
Federico Caro,0000-0003-2931-6685
Flavia Bartoli,0000-0002-5917-561X
Francesco Bianchini,0000-0002-3246-2774
Franck Vautier,0000-0002-4939-2477
Fulong Chen,0000-0003-1144-0004
Giancarlo Della Ventura,0000-0001-6277-961X
Giovanni Strona,0000-0003-2294-4013
Gary P. Marriner,0000-0001-7630-6768
Georges Coedes,
Gillian Green,0000-0003-1043-9968
Giulia Caneva,0000-0002-0551-7100
Glenn Boornazian,
Guang Huang,0000-0002-9171-3641
Hayden Cawte,
Hiroyuki Kashiwadani,0000-0002-2657-9730
Hallie R. Buckley,0000-0003-1047-4288
Hang Peou,0000-0001-7055-9895
Hang Xu,
Hans Leisen,
Hao Duy Phan,0000-0002-5617-6844
Hean Bun,
Heiner Siedel,0000-0002-7858-1437
Helaine Silverman,
Helena Grunfeld,0000-0003-0544-8077
Heng Than,
Henri Locard,
Hikaru Ikuta,0009-0001-6372-2444
Hiroki Agatsuma,
Hiroya Sato,0000-0002-5903-055X
Hiroyoshi Shiokawa,
Hui Li,0000-0001-9139-3855
Huw S. Groucutt,0000-0002-9111-1720
Ian Moffat,0000-0002-2171-7145
Ian Tapley,
Ichita Shimoda,0000-0002-7563-7394
Issaak Parcharidis,0000-0002-6642-3642
Iuliia V. Sleptsova,0009-0000-8004-7594
Jane Southworth,0000-0002-7246-7879
Janet G. Douglas,0000-0001-5042-6112
Jean-Baptiste Chevance,0000-0001-5489-4618
Jens Fohlmeister,0009-0002-1654-3715
Ji-Dong Gu,
Jiangbin You,0000-0002-6340-4542
Jiapeng Wu,0000-0003-4633-6530
Jing Li,0009-0007-7955-7889
John D. Ciorciari,0000-0001-8654-3038
John W. Monroe,
Jon Tunnicliffe,0000-0003-0377-7803
Jonathan Niles-Weed,0000-0002-4766-6526
Jonathan Wager,
Jose-Juan Zamorano,0000-0002-9575-5734
Josephine Gillespie,0000-0002-5103-3449
José Lobo,0000-0002-0814-7168
Jörg Kammerhofer,0000-0003-0991-9905
Keisuke Ito,0009-0007-3751-6309
Kwang Hee Moon,
Kate M. Domett,0000-0001-5091-3105
Kaito Kuriyama,
Kaoru Sezaki,0000-0003-1194-4632
Kaseka Phon,0000-0002-8896-3818
Kasper Hanus,0000-0003-1550-6939
Katrina Gaber,0009-0002-6157-4633
Katsura Sato,0000-0003-0949-2809
Katsuro Mogib,
Katsushi Ikeuchi,0000-0001-9758-9357
Keiko Miura,0000-0002-5627-0929
Keishiro Azami,0000-0003-2885-078X
Kelly Gerard,0000-0002-4725-6703
Kevin J. Anchukaitis,0000-0002-8509-8080
Khieu Chan,
Kimly Ngoun,
Koichi Nakagawa,0009-0000-3271-1147
Kojiro Tsuda,0000-0002-6037-4966
Kong Vireak,
Kosal Chim,0000-0002-4581-5436
Kousei Mikami,
Kyosuke Onishi,0000-0002-4679-3670
Larry W. Mays,0000-0002-4382-606X
Laure Dussubieux,0000-0002-9334-8131
Le Canh Nam,0000-0001-9200-4831
Leaksmy Kong,
Lin Gao,
Lisa Kealhofer,0000-0002-8308-462X
Louis Lebel,0000-0001-6187-6418
Luca Salvati,0000-0001-9322-9987
Lui Du,
Lynn Meskell,0000-0001-9087-3611
Maria Antonietta Ricci,0000-0002-6904-6686
Maocheng Deng,0000-0002-9571-9442
Marie-Françoise André,0000-0003-0367-5196
Martin Polkinghorne,0000-0002-6108-002X
Masaki Koiwa,
Masaki Sano,0000-0003-3391-9067
Masataka Kagesawa,0009-0003-4013-5583
Masato Araya,
Mathieu Guérin,0009-0006-2757-0865
Matti Kummu,0000-0001-5096-0163
Mawo Kamakura,
Melanie Kaliwoda,0000-0001-7767-3084
Michael Barbetti,
Michael F. Charlton,0000-0002-9526-5743
Michael Paul Leadbetter,0000-0003-1513-6958
Michael S. Falser,0000-0003-3930-6843
Michael Vickery,
Michael W. Binford,0000-0001-8914-1093
Mikael Baaz,0000-0003-2145-9016
Mike Barbetti,
